treatment,treatment_slug,diagnosis_category,diagnosis_slug,decisions,overturned,overturn_rate,year_min,year_max,medical_necessity,experimental,urgent,decisions_last_5y,overturned_last_5y,apellica_page
Bariatric Other,bariatric-other,Digestive System/ GI,digestive-system-gi,5,0,0.0000,2017,2018,1,4,0,0,0,https://apellica.com/appeal-outcomes/california-imr/bariatric-other/digestive-system-gi
Non-FDA Approved Use,non-fda-approved-use,GU/ Kidney Disorder,gu-kidney-disorder,5,3,0.6000,2006,2009,4,1,0,0,0,https://apellica.com/appeal-outcomes/california-imr/non-fda-approved-use/gu-kidney-disorder
Electric Scooter,electric-scooter,Morbid Obesity,morbid-obesity,5,0,0.0000,2003,2012,5,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/electric-scooter/morbid-obesity
Cholesterol Screen,cholesterol-screen,Cardiac/Circ Problem,cardiac-circ-problem,5,0,0.0000,2016,2020,0,5,0,0,0,https://apellica.com/appeal-outcomes/california-imr/cholesterol-screen/cardiac-circ-problem
Urgent Care,urgent-care,Skin Disorders,skin-disorders,5,1,0.2000,2014,2018,0,0,5,0,0,https://apellica.com/appeal-outcomes/california-imr/urgent-care/skin-disorders
Prosthesis,prosthesis,Cancer,cancer,5,3,0.6000,2011,2024,4,1,0,2,1,https://apellica.com/appeal-outcomes/california-imr/prosthesis/cancer
Analgesics,analgesics,Digestive System/ GI,digestive-system-gi,5,1,0.2000,2015,2017,5,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/analgesics/digestive-system-gi
Pain Medication,pain-medication,Trauma/ Injuries,trauma-injuries,5,0,0.0000,2017,2020,5,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/pain-medication/trauma-injuries
Early Discharge,early-discharge,Cardiac/Circ Problem,cardiac-circ-problem,5,0,0.0000,2012,2023,5,0,0,2,0,https://apellica.com/appeal-outcomes/california-imr/early-discharge/cardiac-circ-problem
Special Bed,special-bed,Cardiac/Circ Problem,cardiac-circ-problem,5,1,0.2000,2006,2025,5,0,0,2,1,https://apellica.com/appeal-outcomes/california-imr/special-bed/cardiac-circ-problem
IVIG Therapy,ivig-therapy,Skin Disorders,skin-disorders,5,4,0.8000,2011,2025,4,1,0,3,3,https://apellica.com/appeal-outcomes/california-imr/ivig-therapy/skin-disorders
Colonoscopy,colonoscopy,Prevention/Good Hlth,prevention-good-hlth,5,2,0.4000,2002,2005,5,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/colonoscopy/prevention-good-hlth
Weight Control,weight-control,Digestive System/ GI,digestive-system-gi,5,1,0.2000,2024,2025,2,3,0,5,1,https://apellica.com/appeal-outcomes/california-imr/weight-control/digestive-system-gi
Pain Medication,pain-medication,Cancer,cancer,5,3,0.6000,2019,2022,5,0,0,3,2,https://apellica.com/appeal-outcomes/california-imr/pain-medication/cancer
Appld Behav Analysis,appld-behav-analysis,Pediatrics,pediatrics,5,2,0.4000,2012,2023,5,0,0,3,1,https://apellica.com/appeal-outcomes/california-imr/appld-behav-analysis/pediatrics
Oxygen,oxygen,Cardiac/Circ Problem,cardiac-circ-problem,5,0,0.0000,2002,2021,5,0,0,1,0,https://apellica.com/appeal-outcomes/california-imr/oxygen/cardiac-circ-problem
Implant Removal,implant-removal,Orth/Musculoskeletal,orth-musculoskeletal,5,1,0.2000,2013,2025,5,0,0,2,0,https://apellica.com/appeal-outcomes/california-imr/implant-removal/orth-musculoskeletal
Invest Tx Protocol,invest-tx-protocol,Cancer,cancer,5,3,0.6000,2003,2008,0,5,0,0,0,https://apellica.com/appeal-outcomes/california-imr/invest-tx-protocol/cancer
General Anesthesia,general-anesthesia,Orth/Musculoskeletal,orth-musculoskeletal,5,0,0.0000,2015,2019,3,2,0,0,0,https://apellica.com/appeal-outcomes/california-imr/general-anesthesia/orth-musculoskeletal
Evaluation,evaluation,Orth/Musculoskeletal,orth-musculoskeletal,5,2,0.4000,2010,2024,5,0,0,2,1,https://apellica.com/appeal-outcomes/california-imr/evaluation/orth-musculoskeletal
Hormones,hormones,Not Applicable,not-applicable,5,1,0.2000,2013,2018,4,1,0,0,0,https://apellica.com/appeal-outcomes/california-imr/hormones/not-applicable
Acupuncture,acupuncture,OB-GYN/ Pregnancy,ob-gyn-pregnancy,5,1,0.2000,2008,2017,5,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/acupuncture/ob-gyn-pregnancy
Cardiac Rehab,cardiac-rehab,Cardiac/Circ Problem,cardiac-circ-problem,5,3,0.6000,2016,2022,5,0,0,2,1,https://apellica.com/appeal-outcomes/california-imr/cardiac-rehab/cardiac-circ-problem
TENS Unit,tens-unit,CNS/ Neuromusc Dis,cns-neuromusc-dis,5,1,0.2000,2006,2016,2,3,0,0,0,https://apellica.com/appeal-outcomes/california-imr/tens-unit/cns-neuromusc-dis
Orthotics,orthotics,CNS/ Neuromusc Dis,cns-neuromusc-dis,5,2,0.4000,2014,2024,3,2,0,2,0,https://apellica.com/appeal-outcomes/california-imr/orthotics/cns-neuromusc-dis
Acupuncture,acupuncture,Digestive System/ GI,digestive-system-gi,5,2,0.4000,2007,2022,4,1,0,1,1,https://apellica.com/appeal-outcomes/california-imr/acupuncture/digestive-system-gi
Nerve Block,nerve-block,Foot Disorder,foot-disorder,5,3,0.6000,2016,2021,0,5,0,1,1,https://apellica.com/appeal-outcomes/california-imr/nerve-block/foot-disorder
Acupuncture,acupuncture,Chron Pain Synd,chron-pain-synd,5,1,0.2000,2007,2018,4,1,0,0,0,https://apellica.com/appeal-outcomes/california-imr/acupuncture/chron-pain-synd
