treatment,treatment_slug,diagnosis_category,diagnosis_slug,decisions,overturned,overturn_rate,year_min,year_max,medical_necessity,experimental,urgent,decisions_last_5y,overturned_last_5y,apellica_page
Breast Augmentation,breast-augmentation,Post Surgical Comp,post-surgical-comp,6,0,0.0000,2012,2024,6,0,0,2,0,https://apellica.com/appeal-outcomes/california-imr/breast-augmentation/post-surgical-comp
Social Skills Therapy,social-skills-therapy,Autism Spectrum,autism-spectrum,6,4,0.6667,2019,2025,6,0,0,3,2,https://apellica.com/appeal-outcomes/california-imr/social-skills-therapy/autism-spectrum
Hormones,hormones,Sym/Sign Ab Find,sym-sign-ab-find,6,5,0.8333,2026,2026,6,0,0,6,5,https://apellica.com/appeal-outcomes/california-imr/hormones/sym-sign-ab-find
Proton Beam,proton-beam,CNS/ Neuromusc Dis,cns-neuromusc-dis,6,1,0.1667,2011,2022,0,6,0,1,1,https://apellica.com/appeal-outcomes/california-imr/proton-beam/cns-neuromusc-dis
Cryoablation,cryoablation,Cancer,cancer,6,2,0.3333,2005,2018,0,6,0,0,0,https://apellica.com/appeal-outcomes/california-imr/cryoablation/cancer
Biologics,biologics,Digest System,digest-system,6,3,0.5000,2026,2026,6,0,0,6,3,https://apellica.com/appeal-outcomes/california-imr/biologics/digest-system
Laparotomy,laparotomy,Digestive System/ GI,digestive-system-gi,6,3,0.5000,2002,2016,5,0,1,0,0,https://apellica.com/appeal-outcomes/california-imr/laparotomy/digestive-system-gi
Rhinoplasty,rhinoplasty,Ears/Nose/Throat,ears-nose-throat,6,4,0.6667,2020,2024,6,0,0,5,3,https://apellica.com/appeal-outcomes/california-imr/rhinoplasty/ears-nose-throat
Urgent Care,urgent-care,Digestive System/ GI,digestive-system-gi,6,0,0.0000,2011,2018,1,0,5,0,0,https://apellica.com/appeal-outcomes/california-imr/urgent-care/digestive-system-gi
Pain Medication,pain-medication,Endocrine/Metabolic,endocrine-metabolic,6,0,0.0000,2018,2024,6,0,0,2,0,https://apellica.com/appeal-outcomes/california-imr/pain-medication/endocrine-metabolic
Interferon,interferon,CNS/ Neuromusc Dis,cns-neuromusc-dis,6,3,0.5000,2008,2018,6,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/interferon/cns-neuromusc-dis
Weight Control,weight-control,Immuno Disorders,immuno-disorders,6,5,0.8333,2007,2025,6,0,0,5,4,https://apellica.com/appeal-outcomes/california-imr/weight-control/immuno-disorders
Inpt Admission,inpt-admission,Skin Disorders,skin-disorders,6,2,0.3333,2006,2022,6,0,0,1,1,https://apellica.com/appeal-outcomes/california-imr/inpt-admission/skin-disorders
Anti-virals,anti-virals,Immuno Disorders,immuno-disorders,6,1,0.1667,2004,2020,5,1,0,0,0,https://apellica.com/appeal-outcomes/california-imr/anti-virals/immuno-disorders
Acupuncture,acupuncture,Mental Disorder,mental-disorder,6,3,0.5000,2004,2020,6,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/acupuncture/mental-disorder
