issuer_name,state,in_network_denied,internal_appeals,appeals_per_1000_denials,appeal_overturn_rate,external_reviews,external_review_overturn_rate,claims_year,apellica_page
Celtic Insurance Company,AL,352236,377,1.070305136329052,,,,2024,https://apellica.com/insurer-denial-rates/alabama/celtic-insurance-company
"Security Health Plan of Wisconsin, Inc.",WI,247191,258,1.0437273201694237,0.6512,0,0,2024,https://apellica.com/insurer-denial-rates/wisconsin/security-health-plan-of-wisconsin-inc
Celtic Insurance Company,OK,438378,446,1.017386821418958,,,,2024,https://apellica.com/insurer-denial-rates/oklahoma/celtic-insurance-company
"Wellmark Health Plan of Iowa, Inc.",IA,704036,674,0.9573374088825003,0.3279,,,2024,https://apellica.com/insurer-denial-rates/iowa/wellmark-health-plan-of-iowa-inc
"Cigna HealthCare of North Carolina, Inc.",NC,162599,150,0.9225148986156126,0.26,,,2024,https://apellica.com/insurer-denial-rates/north-carolina/cigna-healthcare-of-north-carolina-inc
Healthy Alliance Life Co(Anthem BCBS),MO,295802,270,0.9127727331120141,0.363,0,0,2024,https://apellica.com/insurer-denial-rates/missouri/healthy-alliance-life-co-anthem-bcbs
"Meridian Health Plan of Michigan, Inc.",MI,941541,844,0.8964028119858828,,,,2024,https://apellica.com/insurer-denial-rates/michigan/meridian-health-plan-of-michigan-inc
Cigna Health and Life Insurance Company,IN,75221,67,0.8907087116629664,0.4925,,,2024,https://apellica.com/insurer-denial-rates/indiana/cigna-health-and-life-insurance-company
Premera Blue Cross Blue Shield of Alaska,AK,210082,187,0.8901286164450072,0.4759,,,2024,https://apellica.com/insurer-denial-rates/alaska/premera-blue-cross-blue-shield-of-alaska
"Ambetter Health of Louisiana, Inc.",LA,326106,289,0.8862149117158225,,,,2024,https://apellica.com/insurer-denial-rates/louisiana/ambetter-health-of-louisiana-inc
"Absolute Total Care, Inc",SC,1471467,1299,0.8827924785265316,,,,2024,https://apellica.com/insurer-denial-rates/south-carolina/absolute-total-care-inc
Blue Cross Blue Shield of Michigan Mutual Insurance Company,MI,236257,203,0.8592338004799858,0.468,78,,2024,https://apellica.com/insurer-denial-rates/michigan/blue-cross-blue-shield-of-michigan-mutual-insurance-company
McLaren Health Plan Community,MI,19916,17,0.8535850572404097,0.8824,0,0,2024,https://apellica.com/insurer-denial-rates/michigan/mclaren-health-plan-community
"Health First Commercial Plans, Inc.",FL,475722,403,0.8471334098486091,0.6328,37,,2024,https://apellica.com/insurer-denial-rates/florida/health-first-commercial-plans-inc
"Health Net of Arizona, Inc.",AZ,596289,502,0.8418736552242285,0.0279,,,2024,https://apellica.com/insurer-denial-rates/arizona/health-net-of-arizona-inc
